[2026-01-17 16:45:33.682] [info] HikRobot's daemon thread started.
[2026-01-17 16:45:35.466] [warning] MV_CC_SetFloatValue("Gain", 18) failed: 0x80000102
[2026-01-17 16:45:35.482] [info] HikRobot's capture thread started.
[2026-01-17 16:45:51.619] [debug] see strange armor: big four
[2026-01-17 16:46:11.750] [debug] see strange armor: small one
[2026-01-17 16:46:11.792] [debug] see strange armor: small one
[2026-01-17 16:46:12.337] [debug] see strange armor: small one
[2026-01-17 16:46:12.505] [debug] see strange armor: small one
[2026-01-17 16:46:12.629] [debug] see strange armor: small one
[2026-01-17 16:46:12.807] [debug] see strange armor: small one
[2026-01-17 16:46:13.197] [debug] see strange armor: big four
[2026-01-17 16:46:13.239] [debug] see strange armor: big four
[2026-01-17 16:46:13.283] [debug] see strange armor: big four
[2026-01-17 16:46:13.326] [debug] see strange armor: big four
[2026-01-17 16:46:13.369] [debug] see strange armor: big four
[2026-01-17 16:46:13.413] [debug] see strange armor: big four
[2026-01-17 16:46:13.456] [debug] see strange armor: big four
[2026-01-17 16:46:13.491] [debug] see strange armor: small one
[2026-01-17 16:46:13.498] [debug] see strange armor: big four
[2026-01-17 16:46:13.541] [debug] see strange armor: big four
[2026-01-17 16:46:13.584] [debug] see strange armor: big four
[2026-01-17 16:46:13.619] [debug] see strange armor: small one
[2026-01-17 16:46:13.662] [debug] see strange armor: small one
[2026-01-17 16:46:13.704] [debug] see strange armor: small one
[2026-01-17 16:46:13.749] [debug] see strange armor: small one
[2026-01-17 16:46:13.793] [debug] see strange armor: small one
[2026-01-17 16:46:13.837] [debug] see strange armor: small one
[2026-01-17 16:46:14.009] [debug] see strange armor: small one
[2026-01-17 16:46:14.051] [debug] see strange armor: small one
[2026-01-17 16:46:14.094] [debug] see strange armor: small one
[2026-01-17 16:46:14.136] [debug] see strange armor: small one
[2026-01-17 16:46:14.315] [debug] see strange armor: big four
[2026-01-17 16:46:14.357] [debug] see strange armor: big four
[2026-01-17 16:46:14.816] [debug] see strange armor: small one
[2026-01-17 16:46:14.945] [debug] see strange armor: small one
[2026-01-17 16:46:14.987] [debug] see strange armor: small one
[2026-01-17 16:46:15.030] [debug] see strange armor: small one
[2026-01-17 16:46:15.703] [debug] see strange armor: small one
[2026-01-17 16:46:15.746] [debug] see strange armor: small one
[2026-01-17 16:46:15.790] [debug] see strange armor: small one
[2026-01-17 16:46:15.834] [debug] see strange armor: small one
[2026-01-17 16:46:16.002] [debug] see strange armor: small one
[2026-01-17 16:46:16.044] [debug] see strange armor: small one
[2026-01-17 16:46:16.093] [debug] see strange armor: small one
[2026-01-17 16:46:16.259] [debug] see strange armor: small one
[2026-01-17 16:46:16.346] [debug] see strange armor: small one
[2026-01-17 16:46:16.389] [debug] see strange armor: small one
[2026-01-17 16:46:16.431] [debug] see strange armor: small one
[2026-01-17 16:46:16.472] [debug] see strange armor: small one
[2026-01-17 16:46:16.515] [debug] see strange armor: small one
[2026-01-17 16:46:16.558] [debug] see strange armor: small one
