[2026-01-17 16:36:00.497] [info] HikRobot's daemon thread started.
[2026-01-17 16:36:02.279] [warning] MV_CC_SetFloatValue("Gain", 18) failed: 0x80000102
[2026-01-17 16:36:02.294] [info] HikRobot's capture thread started.
[2026-01-17 16:36:22.704] [debug] see strange armor: big four
[2026-01-17 16:36:22.746] [debug] see strange armor: big four
[2026-01-17 16:36:22.787] [debug] see strange armor: big four
[2026-01-17 16:36:22.829] [debug] see strange armor: big four
[2026-01-17 16:36:22.870] [debug] see strange armor: big four
[2026-01-17 16:36:22.912] [debug] see strange armor: big four
[2026-01-17 16:36:22.953] [debug] see strange armor: big four
[2026-01-17 16:36:25.525] [debug] see strange armor: big four
[2026-01-17 16:36:25.566] [debug] see strange armor: big four
[2026-01-17 16:36:25.608] [debug] see strange armor: big four
[2026-01-17 16:36:25.649] [debug] see strange armor: big four
[2026-01-17 16:36:25.692] [debug] see strange armor: big four
[2026-01-17 16:36:25.732] [debug] see strange armor: big four
[2026-01-17 16:36:25.773] [debug] see strange armor: big four
[2026-01-17 16:36:25.814] [debug] see strange armor: big four
[2026-01-17 16:36:25.857] [debug] see strange armor: big four
[2026-01-17 16:36:25.898] [debug] see strange armor: big four
[2026-01-17 16:36:25.939] [debug] see strange armor: big four
[2026-01-17 16:36:25.981] [debug] see strange armor: big four
[2026-01-17 16:36:26.023] [debug] see strange armor: big four
[2026-01-17 16:36:26.063] [debug] see strange armor: big four
[2026-01-17 16:36:26.106] [debug] see strange armor: big four
[2026-01-17 16:36:26.146] [debug] see strange armor: big four
[2026-01-17 16:36:26.189] [debug] see strange armor: big four
[2026-01-17 16:36:26.229] [debug] see strange armor: big four
[2026-01-17 16:36:26.810] [debug] see strange armor: big four
[2026-01-17 16:36:26.853] [debug] see strange armor: big four
[2026-01-17 16:36:26.893] [debug] see strange armor: big four
[2026-01-17 16:36:26.934] [debug] see strange armor: big four
[2026-01-17 16:36:26.976] [debug] see strange armor: big four
[2026-01-17 16:36:27.017] [debug] see strange armor: big four
[2026-01-17 16:36:27.515] [debug] see strange armor: big four
[2026-01-17 16:36:27.557] [debug] see strange armor: big four
[2026-01-17 16:36:27.598] [debug] see strange armor: big four
[2026-01-17 16:36:27.640] [debug] see strange armor: big four
[2026-01-17 16:36:27.681] [debug] see strange armor: big four
[2026-01-17 16:36:27.723] [debug] see strange armor: big four
[2026-01-17 16:36:27.847] [debug] see strange armor: big four
