[2026-01-11 15:42:30.577] [info] HikRobot's daemon thread started.
[2026-01-11 15:42:31.782] [warning] MV_CC_SetFloatValue("Gain", 20) failed: 0x80000102
[2026-01-11 15:42:31.798] [info] HikRobot's capture thread started.
[2026-01-11 15:42:42.653] [debug] see strange armor: big four
[2026-01-11 15:42:42.687] [debug] see strange armor: big four
[2026-01-11 15:42:42.720] [debug] see strange armor: big four
[2026-01-11 15:42:42.754] [debug] see strange armor: big four
[2026-01-11 15:42:42.788] [debug] see strange armor: big four
[2026-01-11 15:42:42.821] [debug] see strange armor: big four
[2026-01-11 15:42:42.857] [debug] see strange armor: big four
[2026-01-11 15:42:42.893] [debug] see strange armor: big four
[2026-01-11 15:42:42.927] [debug] see strange armor: big four
[2026-01-11 15:42:42.960] [debug] see strange armor: big four
[2026-01-11 15:42:42.996] [debug] see strange armor: big four
[2026-01-11 15:42:43.030] [debug] see strange armor: big four
[2026-01-11 15:42:43.066] [debug] see strange armor: big four
[2026-01-11 15:42:43.100] [debug] see strange armor: big four
[2026-01-11 15:42:43.134] [debug] see strange armor: big four
[2026-01-11 15:42:43.168] [debug] see strange armor: big four
[2026-01-11 15:42:43.202] [debug] see strange armor: big four
[2026-01-11 15:42:43.236] [debug] see strange armor: big four
[2026-01-11 15:42:43.272] [debug] see strange armor: big four
[2026-01-11 15:42:44.822] [debug] See pattern 5
[2026-01-11 15:42:44.858] [debug] See pattern 5
[2026-01-11 15:42:44.894] [debug] See pattern 5
[2026-01-11 15:42:44.930] [debug] See pattern 5
[2026-01-11 15:42:44.966] [debug] See pattern 5
[2026-01-11 15:42:45.000] [debug] See pattern 5
[2026-01-11 15:42:47.942] [debug] see strange armor: big four
[2026-01-11 15:42:47.977] [debug] see strange armor: big four
[2026-01-11 15:42:48.017] [debug] see strange armor: big four
[2026-01-11 15:42:48.520] [debug] see strange armor: big four
[2026-01-11 15:42:48.556] [debug] see strange armor: big four
[2026-01-11 15:42:48.592] [debug] see strange armor: big four
[2026-01-11 15:42:48.627] [debug] see strange armor: big four
[2026-01-11 15:42:48.663] [debug] see strange armor: big four
[2026-01-11 15:42:48.699] [debug] see strange armor: big four
[2026-01-11 15:42:48.734] [debug] see strange armor: big four
[2026-01-11 15:42:48.768] [debug] see strange armor: big four
[2026-01-11 15:42:48.802] [debug] see strange armor: big four
[2026-01-11 15:42:48.837] [debug] see strange armor: big four
[2026-01-11 15:42:48.873] [debug] see strange armor: big four
[2026-01-11 15:42:48.909] [debug] see strange armor: big four
[2026-01-11 15:42:48.943] [debug] see strange armor: big four
[2026-01-11 15:42:48.977] [debug] see strange armor: big four
[2026-01-11 15:42:49.014] [debug] see strange armor: big four
[2026-01-11 15:42:49.049] [debug] see strange armor: big four
[2026-01-11 15:42:49.082] [debug] see strange armor: big four
[2026-01-11 15:42:49.116] [debug] see strange armor: big four
[2026-01-11 15:42:49.152] [debug] see strange armor: big four
[2026-01-11 15:42:49.186] [debug] see strange armor: big four
[2026-01-11 15:42:49.220] [debug] see strange armor: big four
[2026-01-11 15:42:49.254] [debug] see strange armor: big four
[2026-01-11 15:42:49.290] [debug] see strange armor: big four
[2026-01-11 15:42:49.326] [debug] see strange armor: big four
[2026-01-11 15:42:49.361] [debug] see strange armor: big four
[2026-01-11 15:42:50.683] [debug] see strange armor: big four
[2026-01-11 15:42:50.717] [debug] see strange armor: big four
[2026-01-11 15:42:50.752] [debug] see strange armor: big four
[2026-01-11 15:42:50.789] [debug] see strange armor: big four
[2026-01-11 15:42:50.830] [debug] see strange armor: big four
[2026-01-11 15:42:50.868] [debug] see strange armor: big four
[2026-01-11 15:42:50.908] [debug] see strange armor: big four
[2026-01-11 15:42:50.947] [debug] see strange armor: big four
[2026-01-11 15:42:50.982] [debug] see strange armor: big four
[2026-01-11 15:42:51.016] [debug] see strange armor: big four
[2026-01-11 15:42:51.051] [debug] see strange armor: big four
[2026-01-11 15:42:51.086] [debug] see strange armor: big four
[2026-01-11 15:42:51.121] [debug] see strange armor: big four
[2026-01-11 15:42:51.159] [debug] see strange armor: big four
[2026-01-11 15:42:51.194] [debug] see strange armor: big four
[2026-01-11 15:42:52.617] [debug] see strange armor: big four
[2026-01-11 15:42:52.652] [debug] see strange armor: big four
[2026-01-11 15:42:52.687] [debug] see strange armor: big four
[2026-01-11 15:42:52.722] [debug] see strange armor: big four
[2026-01-11 15:42:52.758] [debug] see strange armor: big four
[2026-01-11 15:42:52.793] [debug] see strange armor: big four
[2026-01-11 15:42:52.827] [debug] see strange armor: big four
[2026-01-11 15:42:52.862] [debug] see strange armor: big four
[2026-01-11 15:42:52.898] [debug] see strange armor: big four
[2026-01-11 15:42:52.933] [debug] see strange armor: big four
[2026-01-11 15:42:52.968] [debug] see strange armor: big four
[2026-01-11 15:42:53.004] [debug] see strange armor: big four
[2026-01-11 15:42:53.041] [debug] see strange armor: big four
[2026-01-11 15:42:53.076] [debug] see strange armor: big four
[2026-01-11 15:42:53.623] [debug] see strange armor: big four
[2026-01-11 15:42:53.661] [debug] see strange armor: big four
[2026-01-11 15:42:53.695] [debug] see strange armor: big four
[2026-01-11 15:42:53.732] [debug] see strange armor: big four
[2026-01-11 15:42:53.767] [debug] see strange armor: big four
[2026-01-11 15:43:00.909] [debug] see strange armor: big four
[2026-01-11 15:43:00.944] [debug] see strange armor: big four
[2026-01-11 15:43:00.978] [debug] see strange armor: big four
[2026-01-11 15:43:01.014] [debug] see strange armor: big four
[2026-01-11 15:43:01.048] [debug] see strange armor: big four
[2026-01-11 15:43:01.083] [debug] see strange armor: big four
[2026-01-11 15:43:01.118] [debug] see strange armor: big four
[2026-01-11 15:43:01.152] [debug] see strange armor: big four
[2026-01-11 15:43:01.187] [debug] see strange armor: big four
[2026-01-11 15:43:01.221] [debug] see strange armor: big four
[2026-01-11 15:43:01.256] [debug] see strange armor: big four
[2026-01-11 15:43:01.297] [debug] see strange armor: big four
[2026-01-11 15:43:01.343] [debug] see strange armor: big four
[2026-01-11 15:43:01.381] [debug] see strange armor: big four
[2026-01-11 15:43:01.416] [debug] see strange armor: big four
[2026-01-11 15:43:01.449] [debug] see strange armor: big four
[2026-01-11 15:43:01.483] [debug] see strange armor: big four
[2026-01-11 15:43:01.517] [debug] see strange armor: big four
[2026-01-11 15:43:01.551] [debug] see strange armor: big four
[2026-01-11 15:43:02.435] [debug] see strange armor: big four
[2026-01-11 15:43:02.469] [debug] see strange armor: big four
[2026-01-11 15:43:02.503] [debug] see strange armor: big four
[2026-01-11 15:43:02.536] [debug] see strange armor: big four
[2026-01-11 15:43:02.571] [debug] see strange armor: big four
[2026-01-11 15:43:02.605] [debug] see strange armor: big four
[2026-01-11 15:43:02.643] [debug] see strange armor: big four
[2026-01-11 15:43:02.678] [debug] see strange armor: big four
[2026-01-11 15:43:02.715] [debug] see strange armor: big four
[2026-01-11 15:43:02.750] [debug] see strange armor: big four
[2026-01-11 15:43:02.784] [debug] see strange armor: big four
[2026-01-11 15:43:02.818] [debug] see strange armor: big four
[2026-01-11 15:43:02.852] [debug] see strange armor: big four
[2026-01-11 15:43:02.888] [debug] see strange armor: big four
[2026-01-11 15:43:02.922] [debug] see strange armor: big four
[2026-01-11 15:43:02.956] [debug] see strange armor: big four
[2026-01-11 15:43:02.992] [debug] see strange armor: big four
[2026-01-11 15:43:03.028] [debug] see strange armor: big four
[2026-01-11 15:43:03.066] [debug] see strange armor: big four
[2026-01-11 15:43:06.918] [debug] see strange armor: big four
[2026-01-11 15:43:06.953] [debug] see strange armor: big four
[2026-01-11 15:43:06.988] [debug] see strange armor: big four
[2026-01-11 15:43:07.023] [debug] see strange armor: big four
[2026-01-11 15:43:07.059] [debug] see strange armor: big four
[2026-01-11 15:43:07.095] [debug] see strange armor: big four
[2026-01-11 15:43:07.130] [debug] see strange armor: big four
[2026-01-11 15:43:07.164] [debug] see strange armor: big four
[2026-01-11 15:43:07.200] [deb
