[2026-01-11 14:24:03.657] [info] HikRobot's daemon thread started.
[2026-01-11 14:24:04.871] [warning] MV_CC_SetFloatValue("Gain", 19) failed: 0x80000102
[2026-01-11 14:24:04.887] [info] HikRobot's capture thread started.
[2026-01-11 14:24:07.474] [debug] see strange armor: big four
[2026-01-11 14:24:07.509] [debug] see strange armor: big four
[2026-01-11 14:24:07.613] [debug] see strange armor: big four
[2026-01-11 14:24:07.647] [debug] see strange armor: big four
[2026-01-11 14:24:07.682] [debug] see strange armor: big four
[2026-01-11 14:24:07.749] [debug] see strange armor: big four
[2026-01-11 14:24:07.783] [debug] see strange armor: big four
[2026-01-11 14:24:07.851] [debug] see strange armor: big four
[2026-01-11 14:24:07.920] [debug] see strange armor: big four
[2026-01-11 14:24:07.953] [debug] see strange armor: big four
[2026-01-11 14:24:08.055] [debug] see strange armor: big four
[2026-01-11 14:24:08.088] [debug] see strange armor: big four
[2026-01-11 14:24:08.122] [debug] see strange armor: big four
[2026-01-11 14:24:08.256] [debug] see strange armor: big four
[2026-01-11 14:24:08.290] [debug] see strange armor: big four
[2026-01-11 14:24:08.391] [debug] see strange armor: big four
[2026-01-11 14:24:08.426] [debug] see strange armor: big four
[2026-01-11 14:24:08.461] [debug] see strange armor: big four
[2026-01-11 14:24:08.496] [debug] see strange armor: big four
[2026-01-11 14:24:08.664] [debug] see strange armor: big four
[2026-01-11 14:24:08.699] [debug] see strange armor: big four
[2026-01-11 14:24:08.733] [debug] see strange armor: big four
[2026-01-11 14:24:08.767] [debug] see strange armor: big four
[2026-01-11 14:24:08.802] [debug] see strange armor: big four
[2026-01-11 14:24:08.904] [debug] see strange armor: big four
[2026-01-11 14:24:09.410] [debug] see strange armor: big four
[2026-01-11 14:24:09.446] [debug] see strange armor: big four
[2026-01-11 14:24:09.480] [debug] see strange armor: big four
[2026-01-11 14:24:09.581] [debug] see strange armor: big four
[2026-01-11 14:24:09.614] [debug] see strange armor: big four
[2026-01-11 14:24:09.715] [debug] see strange armor: big four
[2026-01-11 14:24:09.749] [debug] see strange armor: big four
[2026-01-11 14:24:09.783] [debug] see strange armor: big four
[2026-01-11 14:24:09.816] [debug] see strange armor: big four
[2026-01-11 14:24:09.850] [debug] see strange armor: big four
[2026-01-11 14:24:09.884] [debug] see strange armor: big four
[2026-01-11 14:24:09.917] [debug] see strange armor: big four
[2026-01-11 14:24:09.951] [debug] see strange armor: big four
[2026-01-11 14:24:09.985] [debug] see strange armor: big four
[2026-01-11 14:24:10.019] [debug] see strange armor: big four
[2026-01-11 14:24:10.053] [debug] see strange armor: big four
[2026-01-11 14:24:10.088] [debug] see strange armor: big four
[2026-01-11 14:24:10.121] [debug] see strange armor: big four
[2026-01-11 14:24:10.188] [debug] see strange armor: big four
[2026-01-11 14:24:10.321] [debug] see strange armor: big four
[2026-01-11 14:24:10.356] [debug] see strange armor: big four
[2026-01-11 14:24:10.523] [debug] see strange armor: big four
[2026-01-11 14:24:10.591] [debug] see strange armor: big four
[2026-01-11 14:24:10.692] [debug] see strange armor: big four
[2026-01-11 14:24:10.796] [debug] see strange armor: big four
[2026-01-11 14:24:10.830] [debug] see strange armor: big four
[2026-01-11 14:24:10.863] [debug] see strange armor: big four
[2026-01-11 14:24:10.897] [debug] see strange armor: big four
[2026-01-11 14:24:10.931] [debug] see strange armor: big four
[2026-01-11 14:24:11.000] [debug] see strange armor: big four
[2026-01-11 14:24:11.068] [debug] see strange armor: big four
[2026-01-11 14:24:11.102] [debug] see strange armor: big four
[2026-01-11 14:24:11.135] [debug] see strange armor: big four
[2026-01-11 14:24:11.169] [debug] see strange armor: big four
[2026-01-11 14:24:11.237] [debug] see strange armor: big four
[2026-01-11 14:24:11.270] [debug] see strange armor: big four
[2026-01-11 14:24:11.305] [debug] see strange armor: big four
[2026-01-11 14:24:11.340] [debug] see strange armor: big four
[2026-01-11 14:24:11.374] [debug] see strange armor: big four
[2026-01-11 14:24:11.408] [debug] see strange armor: big four
[2026-01-11 14:24:11.442] [debug] see strange armor: big four
[2026-01-11 14:24:11.476] [debug] see strange armor: big four
[2026-01-11 14:24:11.509] [debug] see strange armor: big four
[2026-01-11 14:24:11.544] [debug] see strange armor: big four
[2026-01-11 14:24:11.581] [debug] see strange armor: big four
[2026-01-11 14:24:11.614] [debug] see strange armor: big four
[2026-01-11 14:24:11.648] [debug] see strange armor: big four
[2026-01-11 14:24:11.681] [debug] see strange armor: big four
[2026-01-11 14:24:11.749] [debug] see strange armor: big four
[2026-01-11 14:24:11.782] [debug] see strange armor: big four
[2026-01-11 14:24:11.815] [debug] see strange armor: big four
[2026-01-11 14:24:11.849] [debug] see strange armor: big four
[2026-01-11 14:24:11.882] [debug] see strange armor: big four
[2026-01-11 14:24:11.916] [debug] see strange armor: big four
[2026-01-11 14:24:11.949] [debug] see strange armor: big four
[2026-01-11 14:24:11.984] [debug] see strange armor: big four
[2026-01-11 14:24:12.017] [debug] see strange armor: big four
[2026-01-11 14:24:12.051] [debug] see strange armor: big four
[2026-01-11 14:24:12.084] [debug] see strange armor: big four
[2026-01-11 14:24:12.118] [debug] see strange armor: big four
[2026-01-11 14:24:12.153] [debug] see strange armor: big four
[2026-01-11 14:24:12.187] [debug] see strange armor: big four
[2026-01-11 14:24:12.222] [debug] see strange armor: big four
[2026-01-11 14:24:12.256] [debug] see strange armor: big four
[2026-01-11 14:24:12.289] [debug] see strange armor: big four
[2026-01-11 14:24:12.323] [debug] see strange armor: big four
[2026-01-11 14:24:12.356] [debug] see strange armor: big four
[2026-01-11 14:24:12.389] [debug] see strange armor: big four
[2026-01-11 14:24:12.523] [debug] see strange armor: big four
[2026-01-11 14:24:12.591] [debug] see strange armor: big four
[2026-01-11 14:24:12.624] [debug] see strange armor: big four
[2026-01-11 14:24:12.658] [debug] see strange armor: big four
[2026-01-11 14:24:12.692] [debug] see strange armor: big four
[2026-01-11 14:24:12.725] [debug] see strange armor: big four
[2026-01-11 14:24:12.759] [debug] see strange armor: big four
[2026-01-11 14:24:12.794] [debug] see strange armor: big four
[2026-01-11 14:24:12.831] [debug] see strange armor: big four
[2026-01-11 14:24:12.864] [debug] see strange armor: big four
[2026-01-11 14:24:12.898] [debug] see strange armor: big four
[2026-01-11 14:24:12.932] [debug] see strange armor: big four
[2026-01-11 14:24:12.967] [debug] see strange armor: big four
[2026-01-11 14:24:13.001] [debug] see strange armor: big four
[2026-01-11 14:24:13.035] [debug] see strange armor: big four
[2026-01-11 14:24:13.068] [debug] see strange armor: big four
[2026-01-11 14:24:13.102] [debug] see strange armor: big four
[2026-01-11 14:24:13.136] [debug] see strange armor: big four
[2026-01-11 14:24:13.169] [debug] see strange armor: big four
[2026-01-11 14:24:13.203] [debug] see strange armor: big four
[2026-01-11 14:24:13.370] [debug] see strange armor: big four
[2026-01-11 14:24:13.404] [debug] see strange armor: big four
[2026-01-11 14:24:13.437] [debug] see strange armor: big four
[2026-01-11 14:24:13.471] [debug] see strange armor: big four
[2026-01-11 14:24:13.539] [debug] see strange armor: big four
[2026-01-11 14:24:13.574] [debug] see strange armor: big four
[2026-01-11 14:24:13.608] [debug] see strange armor: big four
